Article,Catégorie,Quantité,Prix unitaire (€),Qté Min,Date d'ajout,Statut
"OIGNONS FRITS 500G METRO CHEF","Autres",1,3.86,0,"13 oct. 2025","Disponible"
"TOPPING CARAM BEUR SALE 1.2KG","Sucré",1,9.33,0,"13 oct. 2025","Disponible"
"SAUCE FROMAG CHEDDAR 1KG MC","Autres",2,7.14,0,"13 oct. 2025","Disponible"
"BRIOCHE TRESSEE MGV 600G ARO","Autres",5,2.19,0,"13 oct. 2025","Disponible"
"BAC VANILLE 5L ECO","Sucré",1,8.83,0,"13 oct. 2025","Disponible"
"ZIGGY FRIES 2.5KG LAMBWESTON","Surgelé",1,6.77,0,"13 oct. 2025","Disponible"
"TWISTER AVEC PEAU 2.5KG","Surgelé",1,8.15,0,"13 oct. 2025","Disponible"
"COULIS FRAMBOISES 500G","Surgelé",1,6.27,0,"13 oct. 2025","Disponible"
"POP DE PLT CRUNCHY HALAL 1KG","Surgelé",2,11.21,0,"13 oct. 2025","Disponible"
"AIGUILETTE PLT GRAINES HALA 1KG","Surgelé",2,11.72,0,"13 oct. 2025","Disponible"
"FILET PLT JAPAN STYLE 960G HAL","Surgelé",1,11.06,0,"13 oct. 2025","Disponible"
"FRAMBOISE 125G PTPORTUGAL","Frais",1,1.99,0,"13 oct. 2025","Disponible"
"AVO PRE MURI PC9 PEROU","Frais",9,1.49,0,"13 oct. 2025","Disponible"

