Nom,Catégorie,Quantité,Unité,Prix unitaire (€),Qté Min,Fournisseur,Description
"Café en grains","Boissons Chaudes",25.5,"kg",12.50,5.0,"Fournisseur Café","Café arabica premium"
"Lait entier","Boissons Chaudes",15.0,"L",1.20,3.0,"Laiterie Locale","Lait frais pasteurisé"
"Farine T55","Délices Salés",50.0,"kg",0.85,10.0,"Meunier Régional","Farine de blé pour pâtisserie"
"Beurre doux","Délices Salés",8.5,"kg",6.50,2.0,"Beurrerie Artisanale","Beurre de baratte artisanal"
"Sucre blanc","Délices Sucrés",30.0,"kg",1.10,5.0,"Sucrerie Nationale","Sucre cristallisé blanc"
"Œufs frais","Délices Salés",120.0,"pièces",0.25,30.0,"Ferme Locale","Œufs de poules élevées en plein air"
"Chocolat noir","Délices Sucrés",12.0,"kg",8.50,3.0,"Chocolaterie Artisanale","Chocolat noir 70% cacao"
"Amandes","Délices Sucrés",5.0,"kg",15.00,1.0,"Producteur Bio","Amandes entières bio"
"Vanille","Délices Sucrés",0.5,"L",45.00,0.1,"Importateur Spécialisé","Extrait de vanille pur"
"Sel fin","Délices Salés",2.0,"kg",0.80,0.5,"Saline Maritime","Sel de mer fin"
